TEST LOG PRINT
SOO
Step 313, Validation Loss= 0.0096, Loss= 0.0090
Step 314, Validation Loss= 0.0094, Loss= 0.0074
Step 315, Validation Loss= 0.0092, Loss= 0.0070
Step 316, Validation Loss= 0.0090, Loss= 0.0078
Step 317, Validation Loss= 0.0088, Loss= 0.0065
Step 318, Validation Loss= 0.0085, Loss= 0.0062
Step 319, Validation Loss= 0.0083, Loss= 0.0064
Step 320, Validation Loss= 0.0081, Loss= 0.0059
Step 321, Validation Loss= 0.0077, Loss= 0.0048
Step 322, Validation Loss= 0.0074, Loss= 0.0043
Step 323, Validation Loss= 0.0071, Loss= 0.0046
Step 324, Validation Loss= 0.0067, Loss= 0.0032
Step 325, Validation Loss= 0.0063, Loss= 0.0029
Step 326, Validation Loss= 0.0060, Loss= 0.0031
Step 327, Validation Loss= 0.0056, Loss= 0.0017
Step 328, Validation Loss= 0.0052, Loss= 0.0015
Step 329, Validation Loss= 0.0049, Loss= 0.0020
Step 330, Validation Loss= 0.0045, Loss= 0.0017
Step 331, Validation Loss= 0.0042, Loss= 0.0011
Step 332, Validation Loss= 0.0040, Loss= 0.0016
Step 333, Validation Loss= 0.0038, Loss= 0.0021
Step 334, Validation Loss= 0.0035, Loss= 0.0012
Step 335, Validation Loss= 0.0033, Loss= 0.0013
Step 336, Validation Loss= 0.0032, Loss= 0.0021
Step 337, Validation Loss= 0.0032, Loss= 0.0035
Step 338, Validation Loss= 0.0033, Loss= 0.0044
Step 339, Validation Loss= 0.0036, Loss= 0.0058
Step 340, Validation Loss= 0.0040, Loss= 0.0078
Step 341, Validation Loss= 0.0042, Loss= 0.0057
Step 342, Validation Loss= 0.0044, Loss= 0.0066
Step 343, Validation Loss= 0.0047, Loss= 0.0078
Step 344, Validation Loss= 0.0049, Loss= 0.0064
Step 345, Validation Loss= 0.0051, Loss= 0.0066
Step 346, Validation Loss= 0.0054, Loss= 0.0078
Step 347, Validation Loss= 0.0055, Loss= 0.0070
Step 348, Validation Loss= 0.0057, Loss= 0.0069
Step 349, Validation Loss= 0.0059, Loss= 0.0077
Step 350, Validation Loss= 0.0069, Loss= 0.0160
Step 351, Validation Loss= 0.0073, Loss= 0.0112
Step 352, Validation Loss= 0.0078, Loss= 0.0117
Step 353, Validation Loss= 0.0083, Loss= 0.0131
Step 354, Validation Loss= 0.0087, Loss= 0.0122
Step 355, Validation Loss= 0.0091, Loss= 0.0133
Step 356, Validation Loss= 0.0093, Loss= 0.0108
Step 357, Validation Loss= 0.0095, Loss= 0.0117
Step 358, Validation Loss= 0.0098, Loss= 0.0123
Step 359, Validation Loss= 0.0099, Loss= 0.0102
Step 360, Validation Loss= 0.0099, Loss= 0.0106
Step 361, Validation Loss= 0.0099, Loss= 0.0100
Step 362, Validation Loss= 0.0100, Loss= 0.0103
Step 363, Validation Loss= 0.0098, Loss= 0.0084
Step 364, Validation Loss= 0.0096, Loss= 0.0073
Step 365, Validation Loss= 0.0095, Loss= 0.0093
Step 366, Validation Loss= 0.0093, Loss= 0.0076
Step 367, Validation Loss= 0.0091, Loss= 0.0067
Step 368, Validation Loss= 0.0090, Loss= 0.0085
Step 369, Validation Loss= 0.0088, Loss= 0.0070
Step 370, Validation Loss= 0.0085, Loss= 0.0060
Step 371, Validation Loss= 0.0083, Loss= 0.0067
Step 372, Validation Loss= 0.0081, Loss= 0.0055
Step 373, Validation Loss= 0.0077, Loss= 0.0045
Step 374, Validation Loss= 0.0074, Loss= 0.0043
Step 375, Validation Loss= 0.0070, Loss= 0.0040
Step 376, Validation Loss= 0.0066, Loss= 0.0026
Step 377, Validation Loss= 0.0061, Loss= 0.0020
Step 378, Validation Loss= 0.0057, Loss= 0.0023
Step 379, Validation Loss= 0.0053, Loss= 0.0013
Step 380, Validation Loss= 0.0049, Loss= 0.0012
Step 381, Validation Loss= 0.0045, Loss= 0.0015
Step 382, Validation Loss= 0.0042, Loss= 0.0012
Step 383, Validation Loss= 0.0039, Loss= 0.0014
Step 384, Validation Loss= 0.0037, Loss= 0.0013
Step 385, Validation Loss= 0.0034, Loss= 0.0014
Step 386, Validation Loss= 0.0033, Loss= 0.0018
Step 387, Validation Loss= 0.0033, Loss= 0.0036
Step 388, Validation Loss= 0.0034, Loss= 0.0046
Step 389, Validation Loss= 0.0037, Loss= 0.0060
Step 390, Validation Loss= 0.0041, Loss= 0.0078
Step 391, Validation Loss= 0.0043, Loss= 0.0061
Step 392, Validation Loss= 0.0045, Loss= 0.0066
Step 393, Validation Loss= 0.0049, Loss= 0.0080
Step 394, Validation Loss= 0.0051, Loss= 0.0068
Step 395, Validation Loss= 0.0053, Loss= 0.0071
Step 396, Validation Loss= 0.0056, Loss= 0.0083
Step 397, Validation Loss= 0.0057, Loss= 0.0072
Step 398, Validation Loss= 0.0059, Loss= 0.0074
Step 399, Validation Loss= 0.0062, Loss= 0.0084
Step 400, Validation Loss= 0.0072, Loss= 0.0161
Step 401, Validation Loss= 0.0075, Loss= 0.0105
Step 402, Validation Loss= 0.0079, Loss= 0.0112
Step 403, Validation Loss= 0.0083, Loss= 0.0128
Step 404, Validation Loss= 0.0087, Loss= 0.0121
Step 405, Validation Loss= 0.0091, Loss= 0.0124
Step 406, Validation Loss= 0.0092, Loss= 0.0104
Step 407, Validation Loss= 0.0095, Loss= 0.0122
Step 408, Validation Loss= 0.0097, Loss= 0.0110
Step 409, Validation Loss= 0.0097, Loss= 0.0097
Step 410, Validation Loss= 0.0098, Loss= 0.0109
Step 411, Validation Loss= 0.0097, Loss= 0.0091
Step 412, Validation Loss= 0.0098, Loss= 0.0100
Step 413, Validation Loss= 0.0097, Loss= 0.0090
Step 414, Validation Loss= 0.0095, Loss= 0.0077
Step 415, Validation Loss= 0.0095, Loss= 0.0092
Step 416, Validation Loss= 0.0093, Loss= 0.0080
Step 417, Validation Loss= 0.0092, Loss= 0.0078
